Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,IsAccurate,LapTimeSeconds,BestStintLap,Degradation,PitLap
PER,Red Bull Racing,51.0,0 days 00:01:34.940000,SOFT,15.0,3.0,,,True,94.94,94.364,0.5759999999999934,False
PER,Red Bull Racing,52.0,0 days 00:01:35.183000,SOFT,16.0,3.0,,,True,95.183,94.364,0.8190000000000026,False
PER,Red Bull Racing,53.0,0 days 00:01:35.842000,SOFT,17.0,3.0,,,True,95.842,94.364,1.4779999999999944,False
PER,Red Bull Racing,54.0,0 days 00:01:35.459000,SOFT,18.0,3.0,,,True,95.459,94.364,1.0949999999999989,False
PER,Red Bull Racing,55.0,0 days 00:01:35.611000,SOFT,19.0,3.0,,,True,95.611,94.364,1.2469999999999999,False
PER,Red Bull Racing,56.0,0 days 00:01:35.568000,SOFT,20.0,3.0,,,True,95.568,94.364,1.2039999999999935,False
PER,Red Bull Racing,57.0,0 days 00:01:35.746000,SOFT,21.0,3.0,,,True,95.746,94.364,1.3819999999999908,False
SAI,Ferrari,2.0,0 days 00:01:37.236000,SOFT,5.0,1.0,,,True,97.236,97.08,0.1560000000000059,False
SAI,Ferrari,3.0,0 days 00:01:37.080000,SOFT,6.0,1.0,,,True,97.08,97.08,0.0,False
SAI,Ferrari,4.0,0 days 00:01:37.264000,SOFT,7.0,1.0,,,True,97.264,97.08,0.1839999999999975,False
SAI,Ferrari,5.0,0 days 00:01:38.032000,SOFT,8.0,1.0,,,True,98.032,97.08,0.9519999999999982,False
SAI,Ferrari,6.0,0 days 00:01:37.741000,SOFT,9.0,1.0,,,True,97.741,97.08,0.6610000000000014,False
SAI,Ferrari,7.0,0 days 00:01:38.260000,SOFT,10.0,1.0,,,True,98.26,97.08,1.1800000000000068,False
SAI,Ferrari,8.0,0 days 00:01:38.183000,SOFT,11.0,1.0,,,True,98.183,97.08,1.1030000000000086,False
SAI,Ferrari,9.0,0 days 00:01:38.030000,SOFT,12.0,1.0,,,True,98.03,97.08,0.9500000000000028,False
SAI,Ferrari,10.0,0 days 00:01:37.608000,SOFT,13.0,1.0,,,True,97.608,97.08,0.5280000000000058,False
SAI,Ferrari,11.0,0 days 00:01:37.656000,SOFT,14.0,1.0,,,True,97.656,97.08,0.5760000000000076,False
SAI,Ferrari,12.0,0 days 00:01:37.650000,SOFT,15.0,1.0,,,True,97.65,97.08,0.5700000000000074,False
SAI,Ferrari,13.0,0 days 00:01:37.243000,SOFT,16.0,1.0,,,True,97.243,97.08,0.1629999999999967,False
SAI,Ferrari,16.0,0 days 00:01:36.376000,HARD,2.0,2.0,,,True,96.376,95.507,0.8689999999999998,False
SAI,Ferrari,17.0,0 days 00:01:35.507000,HARD,3.0,2.0,,,True,95.507,95.507,0.0,False
SAI,Ferrari,18.0,0 days 00:01:36.088000,HARD,4.0,2.0,,,True,96.088,95.507,0.5809999999999889,False
SAI,Ferrari,19.0,0 days 00:01:36.236000,HARD,5.0,2.0,,,True,96.236,95.507,0.7289999999999992,False
SAI,Ferrari,20.0,0 days 00:01:36.034000,HARD,6.0,2.0,,,True,96.034,95.507,0.527000000000001,False
SAI,Ferrari,21.0,0 days 00:01:36.104000,HARD,7.0,2.0,,,True,96.104,95.507,0.5969999999999942,False
SAI,Ferrari,22.0,0 days 00:01:36.008000,HARD,8.0,2.0,,,True,96.008,95.507,0.5009999999999906,False
SAI,Ferrari,23.0,0 days 00:01:36.149000,HARD,9.0,2.0,,,True,96.149,95.507,0.6419999999999959,False
